ACCIDENT_NO,NODE_ID,NODE_TYPE,AMG_X,AMG_Y,LGA_NAME,LGA NAME ALL,DEG_URBAN_NAME,LATITUDE,LONGITUDE,POSTCODE_CRASH
T20120000009,249102,N,2563628.962,2362700.434,BAW BAW,BAW BAW,RURAL_VICTORIA,-38.234957,145.726709,3981
T20120000012,41780,N,2514194.683,2399718.586,MONASH,MONASH,MELB_URBAN,-37.903541,145.161404,3170
T20120000013,69811,I,2508689.41,2396130.003,KINGSTON,KINGSTON,MELB_URBAN,-37.93594,145.098848,3169
T20120000018,22636,I,2227360.371,2804744.001,MILDURA,MILDURA,RURAL_VICTORIA,-34.215874,142.043881,3505
T20120000021,248597,N,2480590.789,2347977.747,MORNINGTON PENINSULA,MORNINGTON PENINSULA,MELB_URBAN,-38.369561,144.77793,3942
T20120000028,248598,N,2557226.903,2497759.563,MURRINDINDI,"MURRINDINDI,MURRINDINDI",RURAL_VICTORIA,-37.018449,145.643172,3719
T20120000032,53249,I,2495882.755,2406589.594,PORT PHILLIP,PORT PHILLIP,MELB_URBAN,-37.841733,144.953222,3206
T20120000043,43910,N,2525286.486,2375502.757,CASEY,CASEY,MELB_URBAN,-38.12147,145.28836,3977
T20120000044,42677,I,2531332.181,2396227.686,YARRA RANGES,YARRA RANGES,MELB_URBAN,-37.934572,145.356418,3160
T20120000046,47545,I,2489297.363,2348258.781,MORNINGTON PENINSULA,MORNINGTON PENINSULA,MELB_URBAN,-38.367171,144.87755,3940
T20120000050,248600,N,2281783.011,2344624.261,WARRNAMBOOL,WARRNAMBOOL,SMALL_CITIES,-38.37419,142.502841,3280
T20120000053,35388,I,2512534.938,2391244.897,KINGSTON,KINGSTON,MELB_URBAN,-37.979908,145.142676,3172
T20120000054,29701,I,2509813.224,2392095.253,KINGSTON,KINGSTON,MELB_URBAN,-37.97228,145.111686,3194
T20120000056,249133,I,2565245.036,2339381.704,SOUTH GIPPSLAND,SOUTH GIPPSLAND,RURAL_VICTORIA,-38.444885,145.747256,3946
T20120000058,44349,I,2470268.216,2401176.604,WYNDHAM,WYNDHAM,MELB_URBAN,-37.890037,144.661987,3030
T20120000059,273183,N,2526651.59,2373529.194,CASEY,CASEY,MELB_URBAN,-38.139211,145.303999,3977
T20120000060,248602,I,2477103.252,2403014.523,WYNDHAM,WYNDHAM,MELB_URBAN,-37.873671,144.739749,3030
T20120000062,248782,N,2456353.319,2527440.085,BENDIGO,BENDIGO,RURAL_VICTORIA,-36.75169,144.511165,3551
T20120000063,39192,I,2508333.767,2412158.171,BOROONDARA,BOROONDARA,MELB_URBAN,-37.791532,145.094621,3104
T20120000064,248603,N,2587361.778,2328459.912,SOUTH GIPPSLAND,SOUTH GIPPSLAND,RURAL_VICTORIA,-38.541422,146.001861,3956
T20120000065,248604,N,2512488.375,2375380.014,FRANKSTON,FRANKSTON,MELB_URBAN,-38.122837,145.142416,3200
T20120000066,273184,N,2633269.594,2563919.382,WANGARATTA,WANGARATTA,RURAL_VICTORIA,-36.414553,146.486109,3678
T20120000079,46415,N,2497578.345,2341159.014,MORNINGTON PENINSULA,MORNINGTON PENINSULA,RURAL_VICTORIA,-38.43118,144.97227,3929
T20120000082,41011,I,2525291.973,2407621.891,MAROONDAH,MAROONDAH,MELB_URBAN,-37.832098,145.287317,3153
T20120000083,249689,N,2295882.595,2389822.234,MOYNE,MOYNE,RURAL_VICTORIA,-37.97037,142.676743,3273
T20120000084,248895,N,2556495.014,2412159.629,YARRA RANGES,YARRA RANGES,RURAL_VICTORIA,-37.789841,145.641429,3799
T20120000086,248605,N,2496898.202,2407708.318,PORT PHILLIP,PORT PHILLIP,MELB_URBAN,-37.831658,144.964764,3205
T20120000087,273186,N,2698469.178,2518002.724,ALPINE,ALPINE,RURAL_VICTORIA,-36.816852,147.224903,3699
T20120000090,273187,N,2524048.27,2393487.311,CASEY,CASEY,MELB_URBAN,-37.959479,145.27365,3802
T20120000091,254398,N,2475642.239,2436820.962,HUME,HUME,SMALL_CITIES,-37.569027,144.724256,3429
T20120000093,20746,I,2805780.219,2416014.466,EAST GIPPSLAND,EAST GIPPSLAND,RURAL_VICTORIA,-37.706624,148.468666,3888
T20120000096,249283,N,2513641.972,2376531.362,FRANKSTON,FRANKSTON,MELB_URBAN,-38.112448,145.15555,3198
T20120000097,37583,I,2497517.608,2407639.426,PORT PHILLIP,"MELBOURNE,PORT PHILLIP",MELB_URBAN,-37.83228,144.9718,3004
T20120000098,273192,N,2549581.813,2394007.671,CARDINIA,CARDINIA,RURAL_VICTORIA,-37.953778,145.564162,3783
T20120000099,43751,I,2464413.184,2424896.116,MELTON,MELTON,SMALL_CITIES,-37.676117,144.596566,3337
T20120000100,273193,N,2586539.608,2385966.448,BAW BAW,BAW BAW,RURAL_VICTORIA,-38.023512,145.985606,3831
T20120000104,248609,I,2510010.641,2479369.752,MITCHELL,MITCHELL,RURAL_VICTORIA,-37.185867,145.112756,3658
T20120000109,273188,I,2291217.816,2685209.729,BULOKE,BULOKE,RURAL_VICTORIA,-35.308175,142.704714,3533
T20120000116,273194,N,2478405.859,2421367.495,MELTON,MELTON,MELB_URBAN,-37.70834,144.755092,3037
T20120000124,248613,N,2493672.289,2413980.383,MOONEE VALLEY,MOONEE VALLEY,MELB_URBAN,-37.775129,144.928171,3032
T20120000131,250962,N,2522292.353,2391842.24,CASEY,CASEY,MELB_URBAN,-37.974344,145.253719,3802
T20120000133,45006,I,2484058.53,2412927.477,BRIMBANK,BRIMBANK,MELB_URBAN,-37.784501,144.819019,3020
T20120000137,273195,N,2251186.547,2394581.819,SOUTHERN GRAMPIANS,SOUTHERN GRAMPIANS,RURAL_VICTORIA,-37.916606,142.169897,3289
T20120000138,248615,I,2282204.881,2426591.552,SOUTHERN GRAMPIANS,SOUTHERN GRAMPIANS,RURAL_VICTORIA,-37.63608,142.531978,3293
T20120000139,36366,I,2497476.572,2412045.745,MELBOURNE,"MELBOURNE,YARRA",MELB_URBAN,-37.792579,144.971349,3054
T20120000141,71100,I,2529465.224,2385228.657,CASEY,CASEY,MELB_URBAN,-38.033727,145.335622,3806
T20120000142,36651,I,2510912.083,2386579.266,KINGSTON,KINGSTON,MELB_URBAN,-38.021963,145.124274,3195
T20120000146,248616,N,2455827.007,2515249.627,BENDIGO,BENDIGO,RURAL_VICTORIA,-36.86153,144.50456,3551
T20120000147,270,I,2511171.456,2373550.449,FRANKSTON,FRANKSTON,MELB_URBAN,-38.139335,145.127426,3199
